N,itm,Date,u,v
1,1,2025-10-21 18:30:00,0.01,-0.17
2,2,2025-10-21 19:30:00,0.01,-0.18
3,3,2025-10-21 20:30:00,0.01,-0.18
4,4,2025-10-21 21:30:00,0.01,-0.18
5,5,2025-10-21 22:30:00,0.02,-0.19
6,6,2025-10-21 23:30:00,0.02,-0.19
7,7,2025-10-22 00:30:00,0.03,-0.19
8,8,2025-10-22 01:30:00,0.03,-0.19
9,9,2025-10-22 02:30:00,0.03,-0.19
10,10,2025-10-22 03:30:00,0.03,-0.19
11,11,2025-10-22 04:30:00,0.02,-0.18
12,12,2025-10-22 05:30:00,0.02,-0.17
13,13,2025-10-22 06:30:00,0.01,-0.16
14,14,2025-10-22 07:30:00,0.01,-0.14
15,15,2025-10-22 08:30:00,0.02,-0.12
16,16,2025-10-22 09:30:00,0.03,-0.1
17,17,2025-10-22 10:30:00,0.05,-0.09
18,18,2025-10-22 11:30:00,0.06,-0.09
19,19,2025-10-22 12:30:00,0.07,-0.09
20,20,2025-10-22 13:30:00,0.07,-0.1
21,21,2025-10-22 14:30:00,0.06,-0.12
22,22,2025-10-22 15:30:00,0.05,-0.13
23,23,2025-10-22 16:30:00,0.03,-0.15
24,24,2025-10-22 17:30:00,0.0,-0.15
25,25,2025-10-22 18:30:00,-0.01,-0.16
26,26,2025-10-22 19:30:00,-0.02,-0.15
27,27,2025-10-22 20:30:00,-0.03,-0.15
28,28,2025-10-22 21:30:00,-0.03,-0.15
29,29,2025-10-22 22:30:00,-0.02,-0.15
30,30,2025-10-22 23:30:00,-0.02,-0.15
31,31,2025-10-23 00:30:00,-0.01,-0.15
32,32,2025-10-23 01:30:00,-0.0,-0.15
33,33,2025-10-23 02:30:00,-0.0,-0.15
34,34,2025-10-23 03:30:00,0.0,-0.15
35,35,2025-10-23 04:30:00,0.01,-0.15
36,36,2025-10-23 05:30:00,0.01,-0.14
37,37,2025-10-23 06:30:00,0.0,-0.14
38,38,2025-10-23 07:30:00,0.0,-0.13
39,39,2025-10-23 08:30:00,0.01,-0.11
40,40,2025-10-23 09:30:00,0.01,-0.1
41,41,2025-10-23 10:30:00,0.01,-0.08
42,42,2025-10-23 11:30:00,0.02,-0.07
43,43,2025-10-23 12:30:00,0.02,-0.07
44,44,2025-10-23 13:30:00,0.02,-0.07
45,45,2025-10-23 14:30:00,0.02,-0.08
46,46,2025-10-23 15:30:00,0.01,-0.09
47,47,2025-10-23 16:30:00,-0.0,-0.09
48,48,2025-10-23 17:30:00,-0.01,-0.1
49,49,2025-10-23 18:30:00,-0.02,-0.11
50,50,2025-10-23 19:30:00,-0.02,-0.11
51,51,2025-10-23 20:30:00,-0.03,-0.12
52,52,2025-10-23 21:30:00,-0.03,-0.12
53,53,2025-10-23 22:30:00,-0.03,-0.12
54,54,2025-10-23 23:30:00,-0.03,-0.12
55,55,2025-10-24 00:30:00,-0.03,-0.12
56,56,2025-10-24 01:30:00,-0.02,-0.11
57,57,2025-10-24 02:30:00,-0.01,-0.1
58,58,2025-10-24 03:30:00,-0.01,-0.09
59,59,2025-10-24 04:30:00,-0.0,-0.08
60,60,2025-10-24 05:30:00,-0.0,-0.06
61,61,2025-10-24 06:30:00,-0.0,-0.04
62,62,2025-10-24 07:30:00,-0.0,-0.01
63,63,2025-10-24 08:30:00,0.0,0.02
64,64,2025-10-24 09:30:00,0.01,0.04
